zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60002,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0
60004,0.0,0.0,8.0,0.0,10.0,13.0,10.0,0.0,0.0
60005,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0
60007,0.0,0.0,0.0,6.0,6.0,14.0,8.0,9.0,0.0
60008,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60010,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
60013,0.0,0.0,0.0,6.0,0.0,7.0,9.0,0.0,0.0
60014,0.0,0.0,0.0,7.0,0.0,6.0,6.0,0.0,0.0
60015,0.0,0.0,11.0,0.0,10.0,14.0,7.0,10.0,11.0
60016,0.0,0.0,27.0,38.0,41.0,42.0,35.0,17.0,17.0
60018,0.0,0.0,12.0,14.0,15.0,12.0,11.0,7.0,0.0
60020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60025,0.0,0.0,19.0,0.0,31.0,37.0,15.0,9.0,14.0
60026,0.0,0.0,0.0,8.0,9.0,9.0,0.0,7.0,14.0
60030,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0
60031,0.0,0.0,13.0,9.0,10.0,22.0,6.0,0.0,0.0
60033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60035,0.0,0.0,12.0,10.0,20.0,17.0,11.0,6.0,15.0
60040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60043,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0
60045,0.0,0.0,6.0,0.0,10.0,20.0,13.0,0.0,10.0
60046,0.0,0.0,0.0,6.0,7.0,15.0,8.0,0.0,0.0
60047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
60048,0.0,0.0,7.0,0.0,11.0,9.0,6.0,0.0,0.0
60050,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0
60051,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60053,0.0,0.0,0.0,17.0,16.0,15.0,15.0,0.0,0.0
60056,0.0,0.0,12.0,21.0,15.0,23.0,11.0,7.0,0.0
60060,0.0,0.0,10.0,7.0,11.0,15.0,14.0,0.0,0.0
60061,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0
60062,0.0,0.0,16.0,0.0,13.0,16.0,13.0,12.0,7.0
60064,0.0,8.0,17.0,10.0,12.0,19.0,14.0,0.0,0.0
60067,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0
60068,0.0,0.0,6.0,16.0,15.0,9.0,16.0,7.0,23.0
60069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60070,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
60073,0.0,0.0,18.0,23.0,30.0,20.0,10.0,13.0,0.0
60074,0.0,0.0,9.0,11.0,8.0,11.0,8.0,0.0,0.0
60076,0.0,0.0,23.0,19.0,20.0,34.0,28.0,13.0,10.0
60077,0.0,0.0,15.0,25.0,29.0,18.0,22.0,7.0,6.0
60081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60083,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
60084,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,12.0
60085,0.0,18.0,60.0,59.0,90.0,79.0,45.0,19.0,0.0
60087,0.0,0.0,16.0,16.0,20.0,24.0,19.0,0.0,0.0
60088,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
60089,0.0,0.0,0.0,10.0,6.0,15.0,11.0,0.0,0.0
60090,0.0,0.0,8.0,18.0,14.0,20.0,14.0,0.0,0.0
60091,0.0,0.0,11.0,0.0,15.0,12.0,9.0,7.0,0.0
60093,0.0,0.0,19.0,9.0,19.0,20.0,6.0,0.0,0.0
60096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60098,0.0,0.0,0.0,0.0,8.0,14.0,11.0,8.0,0.0
60099,0.0,7.0,18.0,20.0,23.0,22.0,15.0,11.0,0.0
60101,0.0,0.0,12.0,22.0,15.0,16.0,13.0,0.0,8.0
60102,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0
60103,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0
