zip,confirmed_cases,Latitude,Longitude,geopoint
60002,28,42.46617,-88.09995,"42.46617,-88.09995"
60004,52,42.108428,-87.97723,"42.108428,-87.97723"
60005,33,42.069327,-87.98464,"42.069327,-87.98464"
60007,47,42.005978000000006,-87.99847,"42.005978,-87.99847"
60008,29,42.07506,-88.02508,"42.07506,-88.02508"
60010,28,42.160790999999996,-88.15231,"42.160791,-88.15231"
60012,15,42.265643,-88.31664,"42.265643,-88.31664"
60013,30,42.217523,-88.24338,"42.217523,-88.24338"
60014,31,42.226623,-88.33066,"42.226623,-88.33066"
60015,66,42.169325,-87.86556,"42.169325,-87.86556"
60016,221,42.047178,-87.89058,"42.047178,-87.89058"
60018,74,42.008429,-87.89234,"42.008429,-87.89234"
60020,8,42.409445,-88.17822,"42.409445,-88.17822"
60021,6,42.194946,-88.21676,"42.194946,-88.21676"
60022,15,42.130976000000004,-87.76252,"42.130976,-87.76252"
60025,130,42.07672,-87.81922,"42.07672,-87.81922"
60026,56,41.811929,-87.68732,"41.811929,-87.68732"
60030,36,42.338955,-88.03433000000001,"42.338955,-88.03433"
60031,65,42.375821,-87.93517,"42.375821,-87.93517"
60033,6,42.424338,-88.61431,"42.424338,-88.61431"
60035,91,42.181875,-87.80956,"42.181875,-87.80956"
60040,9,42.205724,-87.81421,"42.205724,-87.81421"
60041,7,42.372721000000006,-88.15303,"42.372721,-88.15303"
60042,7,42.277691,-88.20074,"42.277691,-88.20074"
60043,13,42.088128000000005,-87.71600000000001,"42.088128,-87.716"
60044,29,42.286221999999995,-87.86309,"42.286222,-87.86309"
60045,72,42.238087,-87.86093000000001,"42.238087,-87.86093"
60046,46,42.410687,-88.05462,"42.410687,-88.05462"
60047,41,42.199957,-88.05859,"42.199957,-88.05859"
60048,41,42.290921999999995,-87.95169,"42.290922,-87.95169"
60050,29,42.348406,-88.24769,"42.348406,-88.24769"
60051,18,42.324760999999995,-88.452481,"42.324761,-88.452481"
60053,72,42.041999,-87.78882,"42.041999,-87.78882"
60056,92,42.065427,-87.93621,"42.065427,-87.93621"
60060,60,42.263622999999995,-88.01172,"42.263623,-88.01172"
60061,36,42.229856,-87.96779000000001,"42.229856,-87.96779"
60062,81,42.124576,-87.84303,"42.124576,-87.84303"
60064,88,42.326071999999996,-87.85202,"42.326072,-87.85202"
60067,26,42.109790000000004,-88.04916999999999,"42.10979,-88.04917"
60068,92,42.011829999999996,-87.84158000000001,"42.01183,-87.84158"
60069,16,42.188074,-87.92716999999999,"42.188074,-87.92717"
