,zip,confirmed_cases
0,60002,28
1,60004,52
2,60005,33
3,60007,47
4,60008,29
5,60010,28
6,60012,15
7,60013,30
8,60014,31
9,60015,66
10,60016,221
11,60018,74
12,60020,8
13,60021,6
14,60022,15
15,60025,130
16,60026,56
17,60030,36
18,60031,65
19,60033,6
20,60035,91
21,60040,9
22,60041,7
23,60042,7
24,60043,13
25,60044,29
26,60045,72
27,60046,46
28,60047,41
29,60048,41
30,60050,29
31,60051,18
32,60053,72
33,60056,92
34,60060,60
35,60061,36
36,60062,81
37,60064,88
38,60067,26
39,60068,92
40,60069,16
41,60070,21
42,60073,122
43,60074,52
44,60076,150
45,60077,123
46,60081,13
47,60083,18
48,60084,44
49,60085,373
50,60087,106
51,60088,21
52,60089,56
53,60090,79
54,60091,64
55,60093,79
56,60096,7
57,60097,6
58,60098,53
59,60099,118
60,60101,94
61,60102,29
62,60103,33
63,60104,141
64,60106,83
65,60107,58
66,60108,29
67,60110,27
68,60115,19
69,60118,10
70,60119,8
71,60120,54
72,60123,56
73,60124,13
74,60126,68
75,60130,46
76,60131,58
77,60133,65
78,60134,14
79,60136,11
80,60137,32
81,60139,64
82,60140,14
83,60142,17
84,60143,13
85,60148,79
86,60153,106
87,60154,64
88,60155,29
89,60156,20
90,60160,84
91,60162,37
92,60163,11
93,60164,58
94,60165,25
95,60169,33
96,60171,29
97,60172,25
98,60173,9
99,60174,20
100,60175,23
101,60176,19
102,60177,14
103,60178,9
104,60181,64
105,60185,48
106,60187,14
107,60188,88
108,60189,28
109,60190,8
110,60191,16
111,60192,13
112,60193,48
113,60194,25
114,60201,98
115,60202,98
116,60203,14
117,60301,10
118,60302,71
119,60304,28
120,60305,15
121,60401,21
122,60402,192
123,60403,51
124,60404,34
125,60406,71
126,60409,163
127,60410,10
128,60411,230
129,60415,46
130,60417,49
131,60418,26
132,60419,114
133,60422,44
134,60423,55
135,60425,43
136,60426,107
137,60428,66
138,60429,81
139,60430,85
140,60431,66
141,60432,43
142,60433,62
143,60434,18
144,60435,179
145,60436,36
146,60438,102
147,60439,34
148,60440,143
149,60441,74
150,60442,16
151,60443,136
152,60445,38
153,60446,91
154,60447,9
155,60448,37
156,60449,26
157,60450,14
158,60451,39
159,60452,51
160,60453,144
161,60455,64
162,60456,11
163,60457,30
164,60458,17
165,60459,67
166,60461,27
167,60462,75
168,60463,38
169,60464,11
170,60465,40
171,60466,184
172,60467,49
173,60468,9
174,60469,13
175,60471,79
176,60472,32
177,60473,139
178,60475,35
179,60477,60
180,60478,96
181,60480,11
182,60481,7
183,60482,20
184,60484,44
185,60487,41
186,60490,52
187,60491,53
188,60501,24
189,60502,22
190,60503,11
191,60504,39
192,60505,71
193,60506,89
194,60510,13
195,60513,46
196,60514,23
197,60515,23
198,60516,28
199,60517,49
200,60521,25
201,60523,26
202,60525,64
203,60526,19
204,60527,119
205,60532,27
206,60534,17
207,60538,17
208,60540,25
209,60542,13
210,60543,38
211,60544,43
212,60545,9
213,60546,39
214,60551,9
215,60554,8
216,60555,13
217,60558,12
218,60559,53
219,60560,18
220,60561,42
221,60563,38
222,60564,47
223,60565,54
224,60585,31
225,60586,82
226,60601,33
227,60605,60
228,60606,15
229,60607,136
230,60608,305
231,60609,199
232,60610,101
233,60611,69
234,60612,242
235,60613,142
236,60614,172
237,60615,151
238,60616,162
239,60617,316
240,60618,225
241,60619,340
242,60620,411
243,60621,162
244,60622,174
245,60623,350
246,60624,249
247,60625,246
248,60626,191
249,60628,330
250,60629,346
251,60630,143
252,60631,83
253,60632,244
254,60633,35
255,60634,266
256,60636,192
257,60637,193
258,60638,178
259,60639,354
260,60640,181
261,60641,200
262,60642,38
263,60643,287
264,60644,298
265,60645,371
266,60646,65
267,60647,167
268,60649,233
269,60651,293
270,60652,177
271,60653,175
272,60654,46
273,60655,112
274,60656,80
275,60657,149
276,60659,204
277,60660,113
278,60661,19
279,60706,64
280,60707,138
281,60712,67
282,60714,112
283,60803,47
284,60804,266
285,60805,62
286,60827,116
287,60901,134
288,60914,43
289,60915,9
290,60950,14
291,60954,8
292,60964,9
293,61008,10
294,61021,10
295,61032,7
296,61068,14
297,61081,15
298,61101,10
299,61102,12
300,61103,11
301,61104,8
302,61107,9
303,61108,16
304,61109,12
305,61114,9
306,61201,26
307,61241,9
308,61244,47
309,61264,7
310,61265,41
311,61282,12
312,61604,7
313,61611,7
314,61614,8
315,61615,8
316,61701,30
317,61704,16
318,61705,7
319,61761,18
320,61764,9
321,61801,12
322,61802,14
323,61820,6
324,61821,10
325,61822,23
326,61853,7
327,61874,6
328,61910,6
329,62002,20
330,62025,18
331,62034,8
332,62035,6
333,62040,27
334,62052,6
335,62060,7
336,62095,8
337,62201,8
338,62203,8
339,62204,7
340,62205,6
341,62206,18
342,62207,13
343,62208,18
344,62220,12
345,62221,23
346,62223,19
347,62226,32
348,62233,25
349,62234,13
350,62236,26
351,62258,10
352,62265,7
353,62269,19
354,62278,11
355,62294,8
356,62298,21
357,62301,12
358,62305,11
359,62471,10
360,62521,31
361,62526,7
362,62568,21
363,62650,9
364,62702,11
365,62711,9
366,62801,31
367,62901,30
368,62959,7
