zip,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**
60002,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
60004,20.0,0.0,15.0,0.0,6.0,7.0,0.0,0.0
60005,10.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0
60007,23.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0
60008,14.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60010,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
60012,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60013,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
60014,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60015,49.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0
60016,44.0,8.0,74.0,42.0,30.0,21.0,0.0,0.0
60018,17.0,6.0,19.0,8.0,0.0,19.0,0.0,0.0
60020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60021,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60022,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60025,79.0,0.0,12.0,17.0,15.0,0.0,0.0,0.0
60026,30.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0
60030,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
60031,24.0,6.0,13.0,7.0,0.0,11.0,0.0,0.0
60033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60035,68.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0
60040,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60043,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60044,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60045,47.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
60046,24.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0
60047,29.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
60048,26.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
60050,17.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
60051,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60053,25.0,0.0,15.0,13.0,15.0,0.0,0.0,0.0
60056,28.0,0.0,27.0,8.0,13.0,16.0,0.0,0.0
60060,18.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0
60061,23.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
60062,47.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0
60064,15.0,19.0,19.0,0.0,0.0,29.0,0.0,0.0
60067,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60068,58.0,0.0,12.0,6.0,10.0,0.0,0.0,0.0
60069,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60070,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
60073,29.0,12.0,26.0,7.0,0.0,43.0,0.0,0.0
60074,10.0,0.0,11.0,8.0,0.0,18.0,0.0,0.0
60076,45.0,13.0,27.0,30.0,26.0,9.0,0.0,0.0
60077,31.0,8.0,35.0,27.0,17.0,0.0,0.0,0.0
60081,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60083,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
60084,23.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0
60085,29.0,38.0,102.0,16.0,0.0,185.0,0.0,0.0
60087,17.0,14.0,25.0,0.0,0.0,45.0,0.0,0.0
60088,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
60089,33.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0
60090,17.0,0.0,11.0,6.0,11.0,28.0,0.0,0.0
60091,50.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
60093,48.0,0.0,12.0,6.0,0.0,9.0,0.0,0.0
60096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60098,27.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0
60099,13.0,30.0,25.0,6.0,0.0,43.0,0.0,0.0
60101,18.0,0.0,19.0,10.0,0.0,42.0,0.0,0.0
60102,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60103,11.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
60104,6.0,101.0,26.0,0.0,0.0,0.0,0.0,0.0
60106,13.0,0.0,17.0,0.0,7.0,39.0,0.0,0.0
60107,15.0,0.0,23.0,0.0,0.0,15.0,0.0,0.0
60108,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60110,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0
60115,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
60118,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60120,20.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0
60123,19.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0
60124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60126,36.0,0.0,9.0,10.0,0.0,6.0,0.0,0.0
60130,10.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0
60131,20.0,0.0,15.0,0.0,0.0,17.0,0.0,0.0
60133,12.0,7.0,21.0,0.0,0.0,21.0,0.0,0.0
60134,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
