zip,Male,Female,Unknown/Left Blank
60616,47.0,45.0,0.0
60069,8.0,0.0,0.0
60401,8.0,10.0,0.0
60046,19.0,14.0,0.0
60192,0.0,6.0,0.0
60115,0.0,14.0,0.0
60610,36.0,41.0,0.0
60123,18.0,20.0,0.0
60478,28.0,40.0,0.0
60564,19.0,13.0,0.0
62236,0.0,6.0,0.0
60624,63.0,86.0,0.0
60169,11.0,6.0,0.0
60418,6.0,8.0,0.0
60175,9.0,10.0,0.0
60438,30.0,35.0,0.0
60060,18.0,9.0,0.0
60487,10.0,14.0,0.0
60083,6.0,7.0,0.0
60464,0.0,0.0,0.0
60415,11.0,13.0,0.0
60607,38.0,30.0,0.0
60601,18.0,10.0,0.0
60656,26.0,16.0,0.0
60630,45.0,35.0,0.0
60458,6.0,0.0,0.0
60301,0.0,6.0,0.0
60636,57.0,59.0,0.0
60501,7.0,0.0,0.0
60103,7.0,17.0,0.0
60644,81.0,100.0,0.0
60544,12.0,13.0,0.0
60521,12.0,7.0,0.0
60189,8.0,12.0,0.0
61114,0.0,0.0,0.0
61801,0.0,6.0,0.0
60404,15.0,9.0,0.0
60143,0.0,0.0,0.0
60020,0.0,6.0,0.0
60707,35.0,39.0,0.0
60043,8.0,0.0,0.0
60089,20.0,21.0,0.0
60527,34.0,52.0,0.0
60467,16.0,13.0,0.0
60172,9.0,12.0,0.0
60561,16.0,15.0,0.0
62233,8.0,6.0,0.0
60613,61.0,46.0,0.0
60026,15.0,24.0,0.0
60126,20.0,17.0,0.0
60106,25.0,14.0,0.0
61102,0.0,0.0,0.0
60178,0.0,0.0,0.0
60012,6.0,0.0,0.0
60461,11.0,11.0,0.0
60510,0.0,0.0,0.0
60155,9.0,13.0,0.0
60435,42.0,56.0,0.0
60484,11.0,19.0,0.0
60653,52.0,55.0,0.0
60633,9.0,13.0,0.0
60455,24.0,18.0,0.0
60504,14.0,13.0,0.0
60490,21.0,19.0,0.0
60647,46.0,40.0,0.0
62568,6.0,14.0,0.0
60441,26.0,23.0,0.0
62711,0.0,0.0,0.0
61821,0.0,6.0,0.0
60545,0.0,0.0,0.0
60639,67.0,77.0,0.0
60044,13.0,8.0,0.0
60453,37.0,46.0,0.0
60067,7.0,10.0,0.0
60430,28.0,26.0,0.0
60090,22.0,23.0,0.0
60622,50.0,58.0,0.0
60516,12.0,11.0,0.0
62234,6.0,0.0,0.0
60714,23.0,28.0,0.0
61704,0.0,7.0,0.0
60422,16.0,16.0,0.0
60173,0.0,0.0,0.0
61109,0.0,0.0,0.0
60462,15.0,26.0,0.0
60628,104.0,123.0,0.0
60201,35.0,41.0,0.0
60130,13.0,23.0,0.0
60081,0.0,0.0,0.0
62002,0.0,6.0,0.0
60107,18.0,15.0,0.0
60436,8.0,13.0,0.0
60505,15.0,14.0,0.0
60087,26.0,27.0,0.0
61910,0.0,0.0,0.0
60064,22.0,34.0,0.0
60015,24.0,28.0,0.0
60605,25.0,21.0,0.0
61761,6.0,10.0,0.0
60007,15.0,14.0,0.0
60585,7.0,12.0,0.0
60193,17.0,17.0,0.0
60542,6.0,0.0,0.0
60442,7.0,7.0,0.0
62265,0.0,0.0,0.0
60642,12.0,11.0,0.0
60101,32.0,22.0,0.0
60047,13.0,13.0,0.0
60118,7.0,0.0,0.0
60450,0.0,0.0,0.0
60473,41.0,42.0,0.0
60805,17.0,21.0,0.0
60402,54.0,61.0,0.0
62208,6.0,0.0,0.0
60164,17.0,11.0,0.0
60187,0.0,0.0,0.0
61701,8.0,14.0,0.0
60124,8.0,0.0,0.0
60018,21.0,18.0,0.0
60659,66.0,66.0,0.0
60181,13.0,25.0,0.0
60525,13.0,23.0,0.0
60513,11.0,14.0,0.0
61853,0.0,0.0,0.0
60619,87.0,147.0,0.0
60465,15.0,10.0,0.0
60565,17.0,12.0,0.0
60419,32.0,46.0,0.0
60914,9.0,13.0,0.0
60035,50.0,26.0,0.0
60651,74.0,83.0,0.0
60153,33.0,32.0,0.0
60084,6.0,12.0,0.0
60439,10.0,14.0,0.0
62025,6.0,0.0,0.0
60631,35.0,20.0,0.0
60625,68.0,59.0,0.0
60459,20.0,18.0,0.0
60559,10.0,17.0,0.0
60608,107.0,49.0,0.0
60110,0.0,0.0,0.0
60061,12.0,10.0,0.0
60410,6.0,0.0,0.0
60433,13.0,27.0,0.0
60482,0.0,0.0,0.0
60041,0.0,0.0,0.0
60645,157.0,113.0,0.0
60502,6.0,7.0,0.0
60304,7.0,9.0,0.0
