White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**
6.0,46.0,26.0,0.0,12.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
26.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
12.0,6.0,0.0,0.0,0.0,17.0,0.0,0.0
0.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,117.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,20.0,20.0,0.0,6.0,0.0,0.0,0.0
12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,25.0,7.0,8.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,79.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,141.0,36.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,12.0,19.0,0.0,0.0,10.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
