zip,Male,Female,Unknown/Left Blank
60002,14.0,14.0,0.0
60004,28.0,22.0,0.0
60005,17.0,16.0,0.0
60007,24.0,23.0,0.0
60008,17.0,12.0,0.0
60010,12.0,15.0,0.0
60012,8.0,7.0,0.0
60013,12.0,18.0,0.0
60014,11.0,20.0,0.0
60015,31.0,35.0,0.0
60016,119.0,101.0,0.0
60018,38.0,35.0,0.0
60020,0.0,0.0,0.0
60021,0.0,0.0,0.0
60022,8.0,7.0,0.0
60025,60.0,68.0,0.0
60026,21.0,35.0,0.0
60030,17.0,18.0,0.0
60031,27.0,36.0,0.0
60033,0.0,0.0,0.0
60035,56.0,35.0,0.0
60040,0.0,0.0,0.0
60041,0.0,0.0,0.0
60042,0.0,0.0,0.0
60043,8.0,0.0,0.0
60044,17.0,12.0,0.0
60045,34.0,38.0,0.0
60046,27.0,18.0,0.0
60047,20.0,20.0,0.0
60048,22.0,19.0,0.0
60050,15.0,14.0,0.0
60051,10.0,8.0,0.0
60053,49.0,23.0,0.0
60056,46.0,46.0,0.0
60060,31.0,29.0,0.0
60061,20.0,16.0,0.0
60062,42.0,37.0,0.0
60064,37.0,51.0,0.0
60067,10.0,16.0,0.0
60068,47.0,44.0,0.0
60069,9.0,7.0,0.0
60070,12.0,9.0,0.0
60073,61.0,59.0,0.0
60074,23.0,29.0,0.0
60076,65.0,85.0,0.0
60077,56.0,64.0,0.0
60081,6.0,6.0,0.0
60083,10.0,8.0,0.0
60084,19.0,25.0,0.0
60085,190.0,179.0,0.0
60087,52.0,54.0,0.0
60088,10.0,0.0,6.0
60089,25.0,31.0,0.0
60090,35.0,42.0,0.0
60091,30.0,34.0,0.0
60093,42.0,35.0,0.0
60096,0.0,0.0,0.0
60097,0.0,0.0,0.0
60098,24.0,29.0,0.0
60099,60.0,58.0,0.0
60101,54.0,40.0,0.0
60102,19.0,10.0,0.0
60103,9.0,24.0,0.0
60104,60.0,81.0,0.0
60106,52.0,31.0,0.0
60107,29.0,29.0,0.0
60108,14.0,15.0,0.0
60110,15.0,11.0,0.0
60115,0.0,17.0,0.0
60118,8.0,0.0,0.0
60119,0.0,0.0,0.0
60120,28.0,26.0,0.0
60123,23.0,31.0,0.0
60124,9.0,0.0,0.0
60126,34.0,34.0,0.0
60130,16.0,30.0,0.0
60131,25.0,32.0,0.0
60133,39.0,25.0,0.0
60134,0.0,9.0,0.0
60136,0.0,6.0,0.0
60137,17.0,14.0,0.0
60139,29.0,35.0,0.0
60140,0.0,9.0,0.0
60142,8.0,9.0,0.0
60143,7.0,6.0,0.0
60148,35.0,44.0,0.0
