,Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,FIPS,Admin2
54255,, Azerbaijan,1.0,0.0,0.0,,,,,
73,,Afghanistan,1.0,0.0,0.0,,,,,
13109,,Afghanistan,1.0,0.0,0.0,,33.0,65.0,,
56409,,Afghanistan,4.0,0.0,0.0,,33.0,65.0,,
12518,,Afghanistan,5.0,0.0,0.0,,33.0,65.0,,
12728,,Afghanistan,7.0,0.0,0.0,,33.0,65.0,,
54561,,Afghanistan,11.0,0.0,0.0,,33.9391,67.71,,
54806,,Afghanistan,16.0,0.0,0.0,,33.9391,67.71,,
26904,,Afghanistan,21.0,0.0,1.0,,33.9391,67.71,,
26643,,Afghanistan,22.0,0.0,1.0,,33.9391,67.71,,
55503,,Afghanistan,24.0,0.0,1.0,,33.9391,67.71,,
17459,,Afghanistan,40.0,1.0,1.0,38.0,33.93911,67.709953,,
3609,,Afghanistan,74.0,1.0,1.0,72.0,33.93911,67.709953,,
7025,,Afghanistan,84.0,2.0,2.0,80.0,33.93911,67.709953,,
51197,,Afghanistan,94.0,4.0,2.0,88.0,33.93911,67.709953,,
47775,,Afghanistan,110.0,4.0,2.0,104.0,33.93911,67.709953,,
33968,,Afghanistan,110.0,4.0,2.0,104.0,33.93911,67.709953,,
30538,,Afghanistan,120.0,4.0,2.0,114.0,33.93911,67.709953,,
37882,,Afghanistan,170.0,4.0,2.0,164.0,33.93911,67.709953,,
40314,,Afghanistan,174.0,4.0,5.0,165.0,33.93911,67.709953,,
42799,,Afghanistan,237.0,4.0,5.0,228.0,33.93911,67.709953,,
9585,,Afghanistan,273.0,6.0,10.0,257.0,33.93911,67.709953,,
12210,,Afghanistan,281.0,6.0,10.0,265.0,33.93911,67.709953,,
26303,,Afghanistan,299.0,7.0,10.0,282.0,33.93911,67.709953,,
23622,,Afghanistan,349.0,7.0,15.0,327.0,33.93911,67.709953,,
53996,,Afghanistan,367.0,11.0,18.0,338.0,33.93911,67.709953,,
20950,,Afghanistan,40.0,1.0,1.0,38.0,33.93911,67.709953,,
56438,,Albania,2.0,0.0,0.0,,41.1533,20.1683,,
12494,,Albania,10.0,0.0,0.0,,41.1533,20.1683,,
12703,,Albania,12.0,1.0,0.0,,41.1533,20.1683,,
43012,,Albania,33.0,1.0,0.0,,41.1533,20.1683,,
43297,,Albania,23.0,1.0,0.0,,41.1533,20.1683,,
54511,,Albania,38.0,1.0,0.0,,41.1533,20.1683,,
54767,,Albania,42.0,1.0,0.0,,41.1533,20.1683,,
26870,,Albania,51.0,1.0,0.0,,41.1533,20.1683,,
26604,,Albania,55.0,1.0,0.0,,41.1533,20.1683,,
44252,,Albania,59.0,2.0,0.0,,41.1533,20.1683,,
43970,,Albania,64.0,2.0,0.0,,41.1533,20.1683,,
55464,,Albania,70.0,2.0,0.0,,41.1533,20.1683,,
55766,,Albania,76.0,2.0,2.0,,41.1533,20.1683,,
17460,,Albania,104.0,4.0,2.0,98.0,41.1533,20.1683,,
3610,,Albania,123.0,5.0,10.0,108.0,41.1533,20.1683,,
7026,,Albania,146.0,5.0,17.0,124.0,41.1533,20.1683,,
51198,,Albania,174.0,6.0,17.0,151.0,41.1533,20.1683,,
47776,,Albania,186.0,8.0,31.0,147.0,41.1533,20.1683,,
33969,,Albania,197.0,10.0,31.0,156.0,41.1533,20.1683,,
30539,,Albania,212.0,10.0,33.0,169.0,41.1533,20.1683,,
37883,,Albania,223.0,11.0,44.0,168.0,41.1533,20.1683,,
40315,,Albania,243.0,15.0,52.0,176.0,41.1533,20.1683,,
42800,,Albania,259.0,15.0,67.0,177.0,41.1533,20.1683,,
9586,,Albania,277.0,16.0,76.0,185.0,41.1533,20.1683,,
12211,,Albania,304.0,17.0,89.0,198.0,41.1533,20.1683,,
26304,,Albania,333.0,20.0,99.0,214.0,41.1533,20.1683,,
23623,,Albania,361.0,20.0,104.0,237.0,41.1533,20.1683,,
53997,,Albania,377.0,21.0,116.0,240.0,41.1533,20.1683,,
20932,,Albania,89.0,2.0,2.0,85.0,41.1533,20.1683,,
74,,Algeria,1.0,0.0,0.0,,,,,
13759,,Algeria,1.0,0.0,0.0,,28.0339,1.6596,,
56154,,Algeria,3.0,0.0,0.0,,28.0339,1.6596,,
56000,,Algeria,5.0,0.0,0.0,,28.0339,1.6596,,
34206,,Algeria,12.0,0.0,0.0,,28.0339,1.6596,,
13032,,Algeria,17.0,0.0,0.0,,28.0339,1.6596,,
56626,,Algeria,19.0,0.0,0.0,,28.0339,1.6596,,
12471,,Algeria,20.0,0.0,0.0,,28.0339,1.6596,,
43032,,Algeria,26.0,2.0,8.0,,28.0339,1.6596,,
43294,,Algeria,24.0,1.0,8.0,,28.0339,1.6596,,
54515,,Algeria,37.0,3.0,12.0,,28.0339,1.6596,,
54758,,Algeria,48.0,4.0,12.0,,28.0339,1.6596,,
26861,,Algeria,54.0,4.0,12.0,,28.0339,1.6596,,
26598,,Algeria,60.0,4.0,12.0,,28.0339,1.6596,,
44246,,Algeria,74.0,7.0,12.0,,28.0339,1.6596,,
43954,,Algeria,87.0,9.0,32.0,,28.0339,1.6596,,
55444,,Algeria,90.0,11.0,32.0,,28.0339,1.6596,,
55733,,Algeria,139.0,15.0,32.0,,28.0339,1.6596,,
17461,,Algeria,230.0,17.0,65.0,148.0,28.0339,1.6596,,
3611,,Algeria,264.0,19.0,24.0,221.0,28.0339,1.6596,,
7027,,Algeria,302.0,21.0,65.0,216.0,28.0339,1.6596,,
51199,,Algeria,367.0,25.0,29.0,313.0,28.0339,1.6596,,
47777,,Algeria,409.0,26.0,29.0,354.0,28.0339,1.6596,,
33970,,Algeria,454.0,29.0,31.0,394.0,28.0339,1.6596,,
30540,,Algeria,511.0,31.0,31.0,449.0,28.0339,1.6596,,
37884,,Algeria,584.0,35.0,37.0,512.0,28.0339,1.6596,,
40316,,Algeria,716.0,44.0,46.0,626.0,28.0339,1.6596,,
42801,,Algeria,847.0,58.0,61.0,728.0,28.0339,1.6596,,
9587,,Algeria,986.0,86.0,61.0,839.0,28.0339,1.6596,,
12212,,Algeria,1171.0,105.0,62.0,1004.0,28.0339,1.6596,,
26305,,Algeria,1251.0,130.0,90.0,1031.0,28.0339,1.6596,,
23624,,Algeria,1320.0,152.0,90.0,1078.0,28.0339,1.6596,,
53998,,Algeria,1423.0,173.0,90.0,1160.0,28.0339,1.6596,,
20909,,Algeria,201.0,17.0,65.0,119.0,28.0339,1.6596,,
12554,,Andorra,1.0,0.0,0.0,,42.5063,1.5218,,
43094,,Andorra,1.0,0.0,0.0,,42.5063,1.5218,,
43389,,Andorra,1.0,0.0,1.0,,42.5063,1.5218,,
54622,,Andorra,1.0,0.0,1.0,,42.5063,1.5218,,
26977,,Andorra,2.0,0.0,1.0,,42.5063,1.5218,,
