,Last_Update,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,name
13315,2020-03-05,2.0,0.0,0.0,,37.75215114,-122.4385672,San Francisco
13048,2020-03-07,9.0,0.0,0.0,,37.75215114,-122.4385672,San Francisco
56386,2020-03-08,9.0,0.0,0.0,,37.75215114,-122.4385672,San Francisco
16715,2020-03-23,131.0,0.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
2866,2020-03-24,152.0,0.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
6283,2020-03-25,178.0,1.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
50455,2020-03-26,223.0,2.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
47026,2020-03-27,279.0,3.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
33219,2020-03-28,308.0,4.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
29785,2020-03-29,340.0,4.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
37125,2020-03-30,374.0,6.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
39741,2020-03-31,397.0,6.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
42219,2020-04-01,434.0,7.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
8986,2020-04-02,450.0,7.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
11599,2020-04-03,497.0,7.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
25684,2020-04-04,529.0,8.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
22986,2020-04-05,568.0,8.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
53349,2020-04-06,583.0,9.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
17722,3/22/20 23,108.0,0.0,0.0,0.0,37.75215114,-122.4385672,San Francisco
15478,2020-03-23,75.0,0.0,0.0,0.0,27.9276559,-82.32013172,Tampa
1629,2020-03-24,91.0,0.0,0.0,0.0,27.9276559,-82.32013172,Tampa
5046,2020-03-25,106.0,0.0,0.0,0.0,27.9276559,-82.32013172,Tampa
49218,2020-03-26,142.0,1.0,0.0,0.0,27.9276559,-82.32013172,Tampa
45789,2020-03-27,167.0,1.0,0.0,0.0,27.9276559,-82.32013172,Tampa
31982,2020-03-28,195.0,2.0,0.0,0.0,27.9276559,-82.32013172,Tampa
28548,2020-03-29,218.0,2.0,0.0,0.0,27.9276559,-82.32013172,Tampa
35888,2020-03-30,253.0,2.0,0.0,0.0,27.9276559,-82.32013172,Tampa
